Date,Open,High,Low,Close,Adj Close,Volume,CPI,Core CPI,gdp,Unemployment_rate,m1,DFF,M2
2005-12-01,10.191799,11.113594,9.938000,10.332770,10.332770,7981071306,2.4690335,202.800,13324.204,4.9,1387.9750000000000000,4.1570967741935500,6702.4500000000000000
2006-01-01,10.523555,11.833396,9.831649,10.776108,10.776108,12006439028,2.4510191,203.2,13324.204,4.7,1387.5800000000000000,4.2851612903225800,6709.9600000000000000
2006-02-01,9.689432,10.124551,8.414211,9.031647,9.031647,11945607870,2.4992554,203.6,13324.204,4.8,1362.0000000000000000,4.4914285714285700,6720.7750000000000000
2006-03-01,9.179593,9.937751,8.257798,9.713591,9.713591,12316553076,2.581219,204.300,13599.16,4.7,1383.8250000000000000,4.5893548387096800,6794.5750000000000000
2006-04-01,9.701885,11.225922,9.662034,10.409483,10.409483,7440364169,2.6806926,204.800,13599.16,4.7,1399.0750000000000000,4.7903333333333300,6870.0500000000000000
2006-05-01,10.422683,10.446843,8.980589,9.260788,9.260788,7063970623,2.7839595,205.400,13599.16,4.6,1394.1200000000000000,4.9403225806451600,6793.8200000000000000
2006-06-01,9.303628,10.444103,9.255309,10.444103,10.444103,5716571099,3.0344298,205.900,13753.424,4.6,1373.6750000000000000,4.9910000000000000,6851.7750000000000000
2006-07-01,10.461787,10.657304,9.406990,9.628908,9.628908,5119995337,3.0939988,206.300,13753.424,4.7,1377.4800000000000000,5.2351612903225800,6869.3800000000000000
2006-08-01,9.591798,9.713591,9.050078,9.427912,9.427912,4294918292,3.2251144,206.800,13753.424,4.7,1363.4000000000000000,5.2464516129032300,6892.9500000000000000
2006-09-01,9.489182,10.428163,9.382831,10.009980,10.009980,4880280180,3.212012,207.200,13870.188,4.5,1347.9750000000000000,5.2546666666666700,6920.1250000000000000
2006-10-01,10.009980,12.253072,9.917576,11.865276,11.865276,6364325977,3.2911246,207.6,13870.188,4.4,1364.6000000000000000,5.2451612903225800,6952.4200000000000000
2006-11-01,11.924305,12.777108,11.583084,12.074990,12.074990,4755369734,3.1482614,207.800,13870.188,4.5,1362.3750000000000000,5.2456666666666700,7024.3250000000000000
2006-12-01,12.104131,12.264031,11.266271,11.469011,11.469011,3680311197,3.1241583,208.1,14039.56,4.4,1379.4500000000000000,5.2380645161290300,7086.1500000000000000
2007-01-01,11.606496,12.777108,11.484703,12.490682,12.490682,5002163322,3.1457342,208.600,14039.56,4.6,1380.0600000000000000,5.2483870967741900,7104.8800000000000000
2007-02-01,12.602762,12.603011,11.034639,11.194291,11.194291,4573643120,3.161558,209.135,14039.56,4.5,1349.2750000000000000,5.2589285714285700,7105.5250000000000000
2007-03-01,11.025424,11.606496,10.884203,11.411228,11.411228,4742365168,3.1090014,209.418,14215.651,4.4,1366.8500000000000000,5.2567741935483900,7193.7000000000000000
2007-04-01,11.401265,12.266522,11.260792,11.740494,11.740494,3732277253,2.9667028,209.747,14215.651,4.5,1400.5000000000000000,5.2496666666666700,7289.7200000000000000
